,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
BarackObama,0.08526146,-0.28369468,0.09058776,0.13079807,-0.3296817,0.026519308,0.08421999,0.26925415,-0.07852638,0.12785046,0.07010141,-0.019375607,0.13075115,-0.09531258,-0.07643448,0.23756777,0.08967981,0.11411243,-0.091327414,-0.18239546,0.1747603,0.044343058,0.04733004,-0.2647804,0.021858497,-0.028953424,0.04640056,0.0029059097,-0.19187462,-0.2049814,-0.13264133,-0.031665556,0.00983074,-0.20823446,0.070049204,0.06325387,-0.06975783,0.14181621,0.34067765,-0.08764675,-0.057507273,0.10170648,-0.14591865,-0.11655781,0.114369534,0.020866267,-0.072407074,0.16590779,0.021317754,0.12998214
nytimes,0.039938975,-0.12731813,0.07206569,-0.11274479,-0.19841714,0.058374025,0.09213874,0.22281922,-0.13048734,0.1994879,0.080396436,0.076774515,0.19571272,-0.22567321,-0.060273442,0.17859362,0.17880611,0.1429548,-0.10069053,0.110730425,0.13392332,0.115693465,0.078389585,-0.305896,-0.04839059,-0.14411357,0.15484375,-0.0063542733,-0.31047362,-0.07452425,-0.13324952,0.011588944,-0.010432476,-0.09421695,-0.01899279,0.07649106,0.0333664,-0.043059304,0.29615462,-0.16626324,-0.05268985,0.11395205,-0.16246049,-0.20765416,0.15334511,0.043731842,-0.07387405,-0.058047198,-0.1231232,0.16858402
Schwarzenegger,0.14677745,0.06860338,-0.14851359,0.19535242,-0.18961708,0.075208835,0.18010812,0.0884089,0.011891207,0.33250308,0.16836406,-0.09536891,0.014370819,0.081502385,-0.03678107,0.14754389,0.029408542,0.15241574,-0.035459775,-0.013691279,-0.004432632,-0.1766591,-0.23995297,0.0035241782,-0.20469014,0.02025347,0.2232073,-0.20891653,-0.23696467,-0.12642181,-0.12038504,-0.04668554,0.209489,-0.11968176,-0.1419103,0.15883218,0.21611638,0.15912119,-0.10384291,0.102879226,-0.14784266,0.1779142,0.032068904,0.018015211,0.17690232,-0.08320342,0.021788346,0.008491098,0.11316155,0.105873466
algore,0.1274372,-0.1625939,-0.1409195,0.09056763,0.05519635,0.03806643,0.03782749,0.11761512,0.15602334,0.19304462,-0.06390647,0.16831645,0.10968347,0.03546575,-0.08359723,0.38726568,-0.0972797,0.10101567,-0.12407805,-0.118515596,0.11510343,0.079737864,-0.06689289,0.057734944,-0.1316614,0.26236048,0.2566992,-0.057461776,-0.25765917,-0.032755878,-0.019618161,0.028278962,0.093401305,0.13216758,-0.2924809,0.010666716,0.1165691,0.16283685,0.30805555,0.06833344,0.05149348,0.0591475,-0.14331222,0.0006792981,-0.14756517,-0.072495475,0.15392293,-0.09601975,0.076285794,-0.026815824
maddow,0.23006023,-0.36266482,0.037113354,0.027982332,-0.42148688,0.06158533,0.14374186,0.35908556,0.016586822,0.009636743,-0.04116278,0.050463412,0.11343056,-0.12764393,0.041299507,0.28513932,0.0779985,0.14931905,0.011375132,-0.0156150935,0.15453064,-0.028397642,0.09578411,-0.08946797,-0.072427824,0.0702393,-0.056642625,0.13417065,-0.10498447,-0.15172319,-0.26063275,0.094160184,-0.089304775,-0.038081508,0.08095346,0.005872503,0.044769954,-0.09654755,0.19216281,-0.053819623,-0.08661109,-0.012189962,-0.12676708,-0.17707925,0.07715898,-0.05969493,-0.08539906,-0.06087172,-0.09699817,-0.023473397
FoxNews,-0.1084022,0.06444539,0.085446276,-0.2767405,0.09809589,0.1647676,0.081187166,0.2142044,-0.100050256,0.20966662,-0.026974756,-0.05769902,0.071204826,-0.14157309,0.02369087,-0.15590993,0.13668115,0.13816814,-0.20940731,-0.11998614,-0.15516685,-0.036818873,0.17516536,-0.23753911,-0.001160843,-0.05178408,0.28111365,-0.16091104,-0.18083152,0.045050994,-0.023712644,-0.19330963,0.0651272,-0.14963496,0.029064126,0.18103106,0.12611493,0.045187082,0.0024372549,-0.1660139,-0.10946401,0.048022117,-0.020710243,-0.034634646,0.16809216,0.32166806,0.10043894,-0.12660316,-0.10680002,0.15233433
MittRomney,-0.27845728,0.14709185,-0.060474936,-0.065645725,0.123846665,0.10816763,0.07404554,0.099354625,-0.116122425,0.1138078,0.0053540696,-0.2090925,-0.07650719,-0.10906392,-0.032385334,0.021748172,0.055097543,0.21977523,-0.25621173,-0.092776045,-0.026677271,0.016674526,0.13801712,-0.21931556,-0.10142055,-0.1460693,0.13832615,-0.12137146,-0.12221591,0.060613405,0.09363528,-0.23701836,0.08138508,-0.32225603,0.16561283,0.13961123,0.19174017,0.27639025,-0.011783838,-0.10104534,-0.026097612,-0.0026915271,-0.05094023,-0.007190313,0.021560207,0.27786,0.18669558,0.015066777,0.048351444,0.13754639
MMFlint,0.14393753,-0.21542272,-0.18043236,0.14381923,-0.3211591,-0.08189416,0.15460724,0.28974503,0.00537639,0.09845169,0.00529708,0.1813886,0.024808567,0.01222886,0.22504202,0.26244286,0.1466571,0.13985138,-0.15500528,0.09547254,-0.002030311,-0.037769094,-0.023894142,-0.14371847,-0.05403497,0.275506,0.09483085,0.20063739,-0.2194453,-0.2210167,-0.14070842,-0.06778561,-0.09241194,-0.099695645,0.13774428,0.033721514,-0.046979856,-0.061573356,0.10341927,-0.07733672,-0.24050479,-0.015727624,0.038380977,-0.090703905,-0.0050720638,0.03198236,-0.04645057,0.025555803,0.10618512,-0.092026
JerryBrownGov,-0.049885996,0.054798003,0.015402459,0.2886331,-0.108086534,0.22996083,0.23292916,-0.051997174,-0.06330986,0.18924935,0.09562832,0.028420925,0.16430414,0.02259133,-0.05298828,0.07730099,-0.13085459,0.37619364,-0.033804163,-0.16286117,0.051588688,-0.0683766,0.07312458,-0.06714727,0.1604475,-0.031234205,0.09351755,0.10737373,0.027887188,-0.118216716,-0.19329722,-0.092284195,-0.192536,0.15795742,-0.1533492,-0.10828566,0.09732017,0.16906577,0.044197664,-0.22390404,-0.09872786,-0.026533354,0.16445887,-0.04519843,0.09943095,-0.11418575,-0.12821527,0.04875955,-0.3202751,-0.14484552
SarahPalinUSA,0.15037116,0.012491879,-0.14715481,0.11726378,0.087305255,-0.025228843,0.19792524,0.064534955,0.13833827,0.07387155,-0.062683456,-0.07670559,0.077837735,0.0072914776,-0.0029054987,-0.22840972,-0.15314187,0.077369064,-0.1966332,-0.015965499,0.06566421,0.013345791,-0.062386118,0.17685959,-0.11598912,-0.1016805,0.43963498,0.059951812,-0.16812325,-0.056749485,0.09163846,-0.14820793,-0.051802322,-0.105049364,0.03648623,0.16645005,0.19050637,0.20521313,-0.20723787,0.15688877,0.063793026,0.019851653,-0.24867469,0.34957325,0.054938868,0.0025289361,-0.069072135,-0.016652646,0.08790226,0.118196376
